,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,MP13,C,226,396,2019-12-08T01:31:58
0,MP1M,C,326,522,2019-12-08T01:31:03
0,PP1,C,40,257,2019-12-08T01:32:27
0,PP2,C,94,145,2019-12-08T01:32:13
0,PP3,C,195,374,2019-12-08T01:31:11
0,PP4,C,11,166,2019-12-08T01:32:04
0,PP5,C,112,346,2019-12-08T01:31:08
0,TP10,C,62,110,2019-12-08T01:32:10
0,TP14,C,16,51,2019-12-08T01:30:40
0,TP16,C,646,668,2019-12-08T01:31:52
0,TP17,C,85,119,2019-12-08T01:32:09
0,TP18,C,336,383,2019-12-08T01:32:35
0,TP2,C,7,77,2019-12-08T01:32:15
0,TPMG,C,27,81,2019-12-08T01:32:05
0,TP36,C,57,247,2019-12-08T01:30:50
0,TPM4,C,49,341,2019-12-08T01:32:15
0,TPM5,C,54,340,2019-12-08T01:32:05
0,TPM6,C,89,358,2019-12-08T01:30:50
0,TP27,C,122,212,2019-12-08T01:32:05
0,TPMN,C,332,645,2019-12-08T01:32:43
0,TPMP,C,318,809,2019-12-08T01:31:07
0,WDB1,C,25,70,2019-12-08T01:32:17
0,Y23,C,313,823,2019-12-08T01:32:26
0,Y24,C,67,181,2019-12-08T01:32:27
0,Y56,C,12,47,2019-12-08T01:32:05
0,BBM1,C,266,406,2019-12-08T01:31:38
0,BBM8,C,121,300,2019-12-08T01:31:52
0,BJ10,C,89,310,2019-12-08T01:30:41
0,BJ11,C,34,100,2019-12-08T01:31:28
0,BJ12,C,286,616,2019-12-08T01:32:16
0,BJ17,C,136,172,2019-12-08T01:31:43
0,BJ18,C,100,324,2019-12-08T01:31:43
0,BJ28,C,396,669,2019-12-08T01:31:32
0,BJ3,C,493,1054,2019-12-08T01:31:36
0,BJ33,C,293,366,2019-12-08T01:30:41
0,BJ42,C,144,450,2019-12-08T01:31:49
0,BJ45,C,167,232,2019-12-08T01:30:42
0,CK21,C,126,192,2019-12-08T01:31:40
0,U48,C,42,93,2019-12-08T01:31:42
0,U5,C,13,39,2019-12-08T01:29:30
0,JM14,C,130,490,2019-12-08T01:33:07
0,JM12,C,3,468,2019-12-08T01:33:16
0,W39,C,41,226,2019-12-08T01:32:25
0,PL67,C,135,735,2019-12-08T01:31:56
0,W2,C,19,1000,2017-12-04T10:54:50
0,W1,C,53,1000,2017-12-04T10:54:50
