,carpark_number,lot_type,lots_available,total_lots,update_datetime
0,BBM9,C,533,1590,2019-12-08T01:33:17
0,C21M,C,172,383,2019-12-08T01:26:51
1,C21M,Y,40,97,2019-12-08T01:26:51
2,C21M,H,50,1,2019-12-08T01:26:51
0,U13,C,172,500,2019-12-08T01:33:06
0,C13M,C,170,290,2019-12-08T01:31:41
0,C12,C,133,316,2019-12-08T01:31:50
0,C14M,C,81,211,2019-12-08T01:31:54
0,C10,C,73,752,2019-12-08T01:31:59
0,BL10,C,114,234,2019-12-08T01:00:03
0,BL19,C,142,371,2019-12-08T01:00:06
0,BL3,C,20,196,2019-12-08T00:59:49
0,J50,C,131,462,2019-12-08T00:59:26
0,J60L,C,9,10,2019-12-08T01:00:10
0,J62,C,274,425,2019-12-08T00:59:39
0,J62M,C,31,222,2019-12-08T00:59:39
0,J63,C,19,153,2019-12-08T00:59:39
0,J65,C,379,975,2019-12-08T00:59:46
0,J71,C,0,481,2019-12-08T01:00:10
0,J76M,C,308,377,2019-12-08T01:00:11
0,J77M,C,266,350,2019-12-08T01:32:59
0,J78M,C,135,500,2019-12-08T01:33:12
0,J79M,C,368,470,2019-12-08T01:00:11
0,J80M,C,303,449,2019-12-08T01:00:07
0,J81M,C,262,431,2019-12-08T01:00:07
0,J82M,C,279,535,2019-12-08T00:59:39
0,J83M,C,0,121,2019-12-08T01:33:09
0,J86M,C,41,194,2019-12-08T01:00:03
0,J88M,C,517,603,2019-12-08T00:59:28
0,J89M,C,494,591,2019-12-08T00:59:28
0,J98M,C,0,384,2019-12-08T00:57:50
0,J99M,C,281,504,2019-12-08T00:57:50
0,JM10,C,0,420,2019-12-08T00:57:50
0,JM13,C,1014,1044,2019-12-08T01:00:13
0,JM22,C,401,532,2019-12-08T01:00:15
0,JM25,C,381,491,2019-12-08T01:00:16
0,JM28,C,102,646,2019-12-08T01:00:08
0,JM29,C,20,641,2019-12-08T01:00:09
0,TBM3,C,310,360,2019-12-08T01:28:09
0,TBM4,C,275,509,2019-12-08T01:28:08
0,BJ49,C,2997,4443,2019-12-08T01:27:34
0,Y11,C,231,662,2019-12-08T01:32:07
0,Y8,C,253,697,2019-12-08T01:33:07
0,Y13,C,77,248,2019-12-08T01:32:44
0,Y3,C,83,403,2019-12-08T01:32:29
0,Y3M,C,48,175,2019-12-08T01:32:29
0,Y39,C,67,191,2019-12-08T01:31:52
0,MPS,C,6,31,2019-12-08T01:31:52
0,Y48,C,149,491,2019-12-08T01:32:54
0,Y48M,C,180,251,2019-12-08T01:32:54
0,Y15,C,132,331,2019-12-08T01:31:49
0,Y4,C,256,810,2019-12-08T01:33:08
0,Y27,C,99,286,2019-12-08T01:32:42
0,Y49,C,150,566,2019-12-08T01:32:29
0,Y21M,C,185,358,2019-12-08T01:31:45
0,Y28,C,46,285,2019-12-08T01:32:25
0,Y28M,C,197,306,2019-12-08T01:32:25
0,Y33,C,31,102,2019-12-08T01:32:34
0,Y49M,C,177,279,2019-12-08T01:32:10
0,Y49L,C,5,27,2019-12-08T01:32:10
0,Y49HV,C,28,3,2016-02-15T21:52:35
0,Y7,C,188,647,2019-12-08T01:32:44
0,Y57,C,6,21,2019-12-08T01:32:09
0,Y21,C,13,46,2019-12-08T01:32:20
0,SB19,C,232,389,2019-12-08T01:32:21
0,SB24,C,228,387,2019-12-08T01:32:21
0,S19L,C,2,4,2019-12-08T01:32:21
0,S24L,C,0,2,2019-12-08T01:32:21
0,SB2,C,162,310,2019-12-08T01:33:37
0,SB16,C,413,593,2019-12-08T01:32:45
0,SB26,C,256,416,2019-12-08T01:32:54
0,SB27,C,260,395,2019-12-08T01:32:54
0,SB28,C,324,498,2019-12-08T01:32:54
0,SB28L,C,8,8,2016-02-25T22:52:35
0,SB3,C,191,363,2019-12-08T01:32:26
0,SB15,C,1108,1529,2019-12-08T01:32:44
0,S15L,C,11,15,2019-12-08T01:32:44
0,SB4,C,141,270,2019-12-08T01:29:46
0,SB5,C,209,350,2019-12-08T01:32:44
0,SB18,C,395,644,2019-12-08T01:32:26
0,SB21,C,553,802,2019-12-08T01:32:26
0,SB29,C,182,512,2019-12-08T01:32:16
0,SB30,C,267,415,2019-12-08T01:32:21
0,SB31,C,101,190,2019-12-08T01:32:21
0,SB23,C,340,552,2019-12-08T01:31:45
0,SB22,C,294,530,2019-12-08T01:33:03
0,SB34,C,21,61,2019-12-08T01:32:39
0,SK36,C,194,333,2019-12-08T01:31:18
0,SK37,C,337,538,2019-12-08T01:31:18
0,SK42,C,286,465,2019-12-08T01:31:18
0,SK23,C,411,672,2019-12-08T01:31:40
0,SK10,C,166,394,2019-12-08T01:29:28
0,SK19,C,123,326,2019-12-08T01:31:30
0,SK20,C,127,283,2019-12-08T01:31:30
0,SK11,C,152,362,2019-12-08T01:32:20
0,SK45,C,334,556,2019-12-08T01:32:12
0,SK4,C,361,593,2019-12-08T01:32:23
0,SK77,C,24,412,2019-12-08T01:33:48
0,SK16,C,241,429,2019-12-08T01:32:08
0,SK63,C,223,494,2019-12-08T01:31:43
0,SK7,C,338,539,2019-12-08T01:32:08
0,MR4,C,22,38,2019-12-08T01:31:59
0,CR7,C,25,156,2019-12-08T01:31:32
0,KB4,C,197,402,2019-12-08T01:31:06
0,JRM,C,163,270,2019-12-08T01:30:16
0,SD5,C,28,64,2019-12-08T01:30:46
0,KB12,C,43,191,2019-12-08T01:32:59
0,UBK4,C,8,49,2019-12-08T01:32:45
0,SD2,C,5,27,2019-12-08T01:29:28
0,SDM2,C,62,134,2019-12-08T01:29:28
0,MR567,C,94,38,2016-02-15T21:52:35
0,SG3,C,42,141,2019-12-08T01:31:46
0,NBRM,C,354,395,2019-12-08T01:31:22
0,SG2,C,50,102,2019-12-08T01:32:20
0,SDM,C,178,193,2019-12-08T01:31:00
0,SD3,C,84,101,2019-12-08T01:29:39
0,W107,C,10,49,2019-12-08T01:31:04
0,W30,C,158,285,2019-12-08T01:30:53
0,W28,C,0,10,2019-12-08T01:30:53
0,W44,C,159,314,2019-12-08T01:30:16
0,W45,C,180,308,2019-12-08T01:31:29
0,W7,C,0,121,2019-12-08T01:31:48
0,W19,C,39,200,2019-12-08T01:31:09
0,W780,C,225,350,2019-12-08T01:29:35
0,W101,C,383,486,2019-12-08T01:30:58
0,W13,C,128,283,2019-12-08T01:29:54
0,W48,C,191,298,2019-12-08T01:27:17
0,W102,C,295,451,2019-12-08T01:31:16
0,W37,C,0,50,2019-12-08T01:31:55
0,W52,C,132,285,2019-12-08T01:31:55
0,W64,C,251,352,2019-12-08T01:31:52
0,W17,C,248,411,2019-12-08T01:31:24
0,W18,C,222,533,2019-12-08T01:31:53
0,W58,C,220,382,2019-12-08T01:29:30
0,W5,C,1,210,2019-12-08T01:31:40
0,W5M,C,93,217,2019-12-08T01:31:40
0,W23,C,225,550,2019-12-08T01:31:41
0,W40,C,147,304,2019-12-08T01:31:05
0,W49,C,196,275,2019-12-08T01:31:05
0,W50,C,176,254,2019-12-08T01:31:05
0,W51,C,234,304,2019-12-08T01:31:05
0,W36,C,216,539,2019-12-08T01:31:30
0,W10,C,52,116,2019-12-08T01:31:10
0,W6,C,14,55,2019-12-08T01:31:02
0,W181,C,163,275,2019-12-08T01:31:27
0,W14,C,102,330,2019-12-08T01:31:18
0,PM6,C,172,435,2019-12-08T01:32:09
0,PM17,C,105,407,2019-12-08T01:31:58
0,PM14,C,177,443,2019-12-08T01:32:01
0,PM29,C,205,415,2019-12-08T01:32:13
0,PM16,C,116,256,2019-12-08T01:32:22
0,PM18,C,46,176,2019-12-08T01:32:13
0,PM11,C,27,152,2019-12-08T01:31:05
0,PM7,C,87,248,2019-12-08T01:31:05
0,PM13,C,119,441,2019-12-08T01:32:39
0,PM45,C,182,521,2019-12-08T01:32:20
0,PM41,C,97,367,2019-12-08T01:32:25
0,PR1,C,2,290,2019-12-08T01:32:49
0,PM19,C,300,441,2019-12-08T01:32:49
0,P40L1,C,6,2,2016-02-15T21:52:35
0,P40L2,C,6,3,2016-02-15T21:52:35
0,PM40,C,77,263,2019-12-08T01:32:31
0,PM37,C,132,293,2019-12-08T01:32:00
0,PM36,C,151,379,2019-12-08T01:32:00
0,SK93,C,283,473,2019-12-08T01:32:01
0,SK2,C,193,360,2019-12-08T01:30:22
0,SK60,C,463,865,2019-12-08T01:32:03
0,SK15,C,368,681,2019-12-08T01:31:53
0,SK17,C,471,677,2019-12-08T01:31:53
0,SK12,C,154,354,2019-12-08T01:31:42
0,W4,C,9,28,2019-12-08T01:29:30
0,SK22,C,274,507,2019-12-08T01:31:18
0,SK21,C,381,653,2019-12-08T01:32:00
0,SK13,C,114,355,2019-12-08T01:29:48
0,SK6,C,329,473,2019-12-08T01:31:51
0,CK52,C,1084,2064,2019-12-08T01:27:50
0,P1,C,114,312,2019-12-08T01:32:08
0,P2,C,107,290,2019-12-08T01:32:08
0,P3,C,242,652,2019-12-08T01:31:59
0,P4,C,402,410,2019-12-08T01:31:59
0,P5,C,176,507,2019-12-08T01:31:36
0,P5L,C,0,4,2019-12-08T01:31:37
0,P6,C,258,534,2019-12-08T01:31:37
0,P6L,C,6,6,2019-12-08T01:31:37
0,P6M,C,436,537,2015-10-23T13:21:14
0,PL14,C,473,500,2019-12-08T01:33:49
0,PL15,C,58,277,2019-12-08T01:32:09
0,PL25,C,70,275,2019-12-08T01:32:09
0,PL29,C,456,456,2019-12-08T01:33:36
0,PL30,C,496,500,2019-12-06T12:24:35
0,PL31,C,56,220,2019-12-08T01:31:51
0,PL32,C,47,201,2019-12-08T01:31:51
0,PL33,C,13,58,2019-12-08T01:31:57
0,PL39,C,70,423,2019-12-08T01:31:58
0,PL40,C,58,242,2019-12-08T01:31:58
0,PL41,C,72,448,2019-12-08T01:31:50
0,PL42,C,455,455,2019-12-08T01:33:32
0,PL44,C,4,39,2019-12-08T01:31:59
0,PL45,C,60,340,2019-12-08T01:32:10
0,PL46,C,55,426,2019-12-08T01:31:58
0,PL48,C,345,345,2019-12-08T01:33:43
0,J10,C,41,175,2019-12-08T01:32:33
0,J11,C,66,129,2019-12-08T01:32:44
0,CK32,C,237,433,2019-12-08T01:27:57
0,BJ51,C,303,553,2019-12-08T01:27:33
0,BJ52,C,199,588,2019-12-08T01:27:38
0,SK25,C,237,407,2019-12-08T01:30:59
0,SK26,C,310,430,2019-12-08T01:32:07
0,SK32,C,589,1074,2019-12-08T01:32:12
0,SK33,C,589,1074,2019-12-08T01:32:12
0,HG11,C,496,862,2019-12-08T01:32:32
0,PL68,C,77,366,2019-12-08T01:32:03
0,PL69,C,111,699,2019-12-08T01:32:00
0,MLM,C,0,496,2019-12-08T01:32:01
1,MLM,Y,0,167,2019-12-08T01:32:01
2,MLM,H,0,0,2019-12-08T01:32:01
0,CR2,C,11,32,2019-12-08T01:29:02
0,CR3,C,0,28,2019-12-08T01:32:38
0,W57,C,160,483,2019-12-08T01:31:46
0,BE36,C,3,48,2019-12-08T01:32:07
0,BE37,C,8,26,2019-12-08T01:32:07
0,BE38,C,358,407,2019-12-08T01:32:08
0,BE42,C,299,835,2019-12-08T01:32:07
0,BE7,C,16,122,2019-12-08T01:32:14
0,SE13,C,55,289,2019-12-08T01:32:08
0,SE16,C,296,673,2019-12-08T01:32:07
0,SM1,C,88,138,2019-12-08T01:32:03
0,SM3,C,82,138,2019-12-08T01:32:26
0,JB3,C,17,33,2019-12-08T01:32:34
0,JB4,C,115,147,2019-12-08T01:32:36
0,K2,C,9,95,2019-12-08T01:32:38
0,K2T,C,0,74,2019-12-08T01:32:38
0,KM2,C,88,129,2019-12-08T01:33:05
1,KM2,Y,79,118,2019-12-08T01:33:05
2,KM2,H,0,1,2019-12-08T01:33:05
0,KM3,C,285,530,2019-12-08T01:32:39
0,TRS,C,163,269,2019-12-08T01:32:34
0,ACM,C,257,285,2019-12-08T01:32:44
0,GE1A,C,426,776,2019-12-08T01:32:43
0,GE1F,C,13,50,2019-12-08T01:32:42
0,GE1G,C,10,48,2019-12-08T01:32:43
0,GE2,C,104,193,2019-12-08T01:32:35
0,GE3,C,224,340,2019-12-08T01:32:36
0,GE5,C,89,255,2019-12-08T01:32:36
0,JB1,C,29,81,2019-12-08T01:32:43
0,JB2,C,3,43,2019-12-08T01:32:46
0,K7,C,159,159,2019-12-08T01:32:35
0,KM4,C,276,429,2019-12-08T01:32:36
0,LT1,C,141,256,2019-12-08T01:32:17
0,LT2,C,3,65,2019-12-08T01:32:18
0,LT3,C,37,267,2019-12-08T01:32:18
0,M1,C,173,340,2019-12-08T01:32:22
0,M32,C,189,392,2019-12-08T01:32:34
0,MP1,C,62,161,2019-12-08T01:32:38
0,MP17,C,29,85,2019-12-08T01:32:43
0,MP2,C,189,301,2019-12-08T01:32:39
0,MP5,C,103,165,2019-12-08T01:32:42
0,MP5M,C,3,158,2019-12-08T01:32:41
0,MP5S,C,5,32,2019-12-08T01:32:41
0,MP6,C,56,73,2019-12-08T01:32:43
0,MP7,C,94,202,2019-12-08T01:32:46
0,SK9,C,202,456,2019-12-08T01:31:45
0,SK14,C,250,444,2019-12-08T01:31:45
0,BE10,C,329,674,2019-12-08T01:32:31
0,BE11,C,262,403,2019-12-08T01:32:31
0,BE13,C,137,232,2019-12-08T01:32:25
0,BE14,C,290,337,2019-12-08T01:32:09
0,BE26,C,4,69,2019-12-08T01:32:22
0,BE27,C,282,362,2019-12-08T01:32:23
0,BE28,C,30,295,2019-12-08T01:32:24
0,BE29,C,0,42,2019-12-08T01:32:06
0,BE30,C,204,357,2019-12-08T01:32:06
0,BE31,C,37,108,2019-12-08T01:32:18
0,BE32,C,301,357,2019-12-08T01:32:18
0,BE4,C,396,772,2019-12-08T01:32:04
0,BE5,C,292,626,2019-12-08T01:32:07
0,BE6,C,13,180,2019-12-08T01:32:25
0,BE9,C,309,777,2019-12-08T01:32:08
0,CLM,C,244,247,2019-12-08T01:28:37
0,BM14,C,10,94,2019-12-08T01:33:07
1,BM14,Y,0,32,2019-12-08T01:33:07
2,BM14,H,0,10,2019-12-08T01:33:07
0,BM19,C,12,37,2019-12-08T01:33:02
1,BM19,Y,40,16,2019-12-08T01:33:02
2,BM19,H,50,50,2019-12-08T01:33:02
0,BM20,C,42,60,2019-12-08T01:33:02
1,BM20,Y,24,24,2019-12-08T01:33:02
2,BM20,H,50,50,2019-12-08T01:33:02
0,BM4,C,44,150,2019-12-08T01:28:34
0,BM6,C,22,30,2019-12-08T01:28:55
0,BVM2,C,341,401,2019-12-08T01:28:37
0,CM1,C,174,966,2019-12-08T01:28:43
0,DUX,C,571,1000,2016-04-20T13:28:38
0,H12,C,132,500,2019-12-08T01:28:46
0,H14,C,133,230,2019-12-08T01:28:35
0,H3,C,11,66,2019-12-08T01:28:39
0,H8,C,29,82,2019-12-08T01:26:56
1,H8,Y,49,65,2019-12-08T01:26:56
2,H8,H,0,1,2019-12-08T01:26:56
0,HCM,C,309,385,2019-12-08T01:28:38
0,HE1,C,0,18,2019-12-08T01:28:38
0,HE19,C,38,93,2019-12-08T01:26:28
1,HE19,Y,40,30,2019-12-08T01:26:28
2,HE19,H,50,50,2019-12-08T01:26:28
0,HE24,C,1,37,2019-12-08T01:33:10
1,HE24,Y,4,5,2019-12-08T01:33:10
2,HE24,H,0,1,2019-12-08T01:33:10
0,HE4,C,78,128,2019-12-08T01:28:37
0,JMB1,C,492,492,2019-12-08T01:28:35
0,JRTM,C,297,433,2019-12-08T01:33:07
1,JRTM,Y,0,90,2019-12-08T01:33:07
2,JRTM,H,0,10,2019-12-08T01:33:07
0,KTM,C,345,423,2019-12-08T01:28:40
0,KTM2,C,423,423,2019-12-08T01:28:40
0,KTM3,C,41,45,2019-12-08T01:28:48
0,KTM4,C,305,461,2019-12-08T01:28:57
0,LBM,C,92,170,2019-12-08T01:28:35
0,PGS,C,100,100,2016-04-25T09:48:25
0,PP9T,C,95,131,2019-12-08T01:30:40
0,RH3,C,0,35,2016-02-16T11:37:54
0,RHM2,C,138,225,2019-12-08T01:28:35
0,RHM3,C,92,400,2019-12-08T01:28:44
0,RHM4,C,0,282,2019-12-08T01:28:44
0,RHS,C,0,35,2019-12-08T01:28:44
0,HG30,C,300,433,2019-12-08T01:32:24
0,HG31,C,15,101,2019-12-08T01:32:01
0,HG32,C,70,287,2019-12-08T01:32:21
0,HG39,C,123,186,2019-12-08T01:32:08
0,HG47,C,156,331,2019-12-08T01:32:25
0,HG48,C,320,840,2019-12-08T01:32:08
0,HG49,C,0,782,2019-12-08T01:32:26
0,HG50,C,51,415,2019-12-08T01:32:19
0,HG51,C,0,203,2019-12-08T01:32:30
0,HG52,C,94,189,2019-12-08T01:32:19
0,HG54,C,321,490,2019-12-08T01:32:31
0,HG55,C,30,50,2019-12-08T01:29:33
0,HG60,C,250,369,2019-12-08T01:32:13
0,HG61,C,195,312,2019-12-08T01:32:10
0,HG62,C,246,343,2019-12-08T01:32:24
0,HG67,C,235,705,2019-12-08T01:32:24
0,HG68,C,156,268,2019-12-08T01:32:32
0,HG69,C,9,203,2019-12-08T01:32:19
0,HG7,C,383,763,2019-12-08T01:32:13
0,HG70,C,222,692,2019-12-08T01:32:12
0,HG76,C,134,266,2019-12-08T01:32:22
0,HG77,C,239,423,2019-12-08T01:32:22
0,HG78,C,110,490,2019-12-08T01:32:20
0,HG79,C,83,401,2019-12-08T01:32:35
0,HG89,C,271,350,2019-12-08T01:32:08
0,HG94,C,619,896,2019-12-08T01:32:30
0,HG95,C,50,80,2019-12-08T01:28:57
0,HG96,C,48,50,2019-12-08T01:28:57
0,HG97,C,40,41,2019-12-08T01:32:18
0,HG99,C,60,154,2019-12-08T01:32:33
0,J12,C,172,249,2019-12-08T01:32:32
0,J14,C,39,198,2019-12-08T01:32:46
0,J15,C,59,209,2019-12-08T01:32:47
0,J16,C,91,200,2019-12-08T01:32:49
0,J18,C,104,178,2019-12-08T01:32:33
0,J22,C,47,233,2019-12-08T01:32:24
0,J23,C,0,274,2019-12-08T01:32:24
0,J23M,C,0,251,2019-12-08T01:32:51
0,J8,C,204,381,2019-12-08T01:32:26
0,J9,C,23,190,2019-12-08T01:32:46
0,J90,C,385,485,2019-12-08T01:32:30
0,J91,C,480,595,2019-12-08T01:32:42
0,J92,C,315,462,2019-12-08T01:32:35
0,J93,C,292,491,2019-12-08T01:32:41
0,J94,C,311,444,2019-12-08T01:32:43
0,J95,C,278,467,2019-12-08T01:32:41
0,J96,C,255,445,2019-12-08T01:32:43
0,J97,C,246,411,2019-12-08T01:32:53
0,BBM2,C,163,285,2019-12-08T01:31:45
0,U12,C,303,773,2019-12-08T01:32:16
0,CK56,C,720,1561,2019-12-08T01:27:35
0,CK57,C,317,1088,2019-12-08T01:27:35
0,U51,C,156,350,2019-12-08T01:30:16
0,ALL,C,548,548,2016-02-10T20:02:17
0,B59,C,84,386,2019-12-08T01:32:56
0,B60,C,49,272,2019-12-08T01:32:56
0,B97,C,249,553,2019-12-08T01:33:13
0,CC12,C,68,131,2019-12-08T01:32:56
0,SK39,C,269,519,2019-12-08T01:31:15
0,SK81,C,14,200,2019-12-08T01:33:34
0,P40L,C,4,6,2019-12-08T01:32:31
0,PM10,C,113,354,2019-12-08T01:32:10
0,PM25,C,160,502,2019-12-08T01:30:57
0,PR7,C,32,208,2019-12-08T01:32:40
0,MR5,C,40,86,2019-12-08T01:32:22
0,MR6,C,40,86,2019-12-08T01:32:22
0,MR7,C,40,86,2019-12-08T01:32:22
0,SG1,C,132,293,2019-12-08T01:32:52
0,SGLM,C,23,230,2019-12-08T01:32:52
0,W4M,C,259,367,2019-12-08T01:29:30
0,W59,C,276,434,2019-12-08T01:31:49
0,W554,C,238,376,2019-12-08T01:31:43
0,W549,C,262,429,2019-12-08T01:31:43
0,W81,C,236,350,2019-12-08T01:30:29
0,SK28,C,252,460,2019-12-08T01:31:02
0,W586,C,266,360,2019-12-08T01:31:09
0,W588,C,177,358,2019-12-08T01:31:09
0,BL19S,C,363,371,2016-02-05T14:34:00
0,J80MS,C,352,360,2015-08-19T12:21:16
0,J80S,C,353,360,2015-08-19T12:37:42
0,J84S,C,0,10,2015-08-19T12:38:20
0,J86S,C,196,200,2015-08-19T12:33:46
0,JM13S,C,789,967,2016-02-05T15:00:32
0,SK29,C,353,526,2019-12-08T01:31:56
0,W26,C,0,21,2019-12-08T01:31:25
0,W27,C,0,4,2019-12-08T01:29:27
0,PM8,C,201,335,2019-12-08T01:32:10
0,PR8,C,0,154,2019-12-08T01:32:10
0,SK69,C,55,264,2019-12-08T01:33:32
0,AH1,C,131,266,2019-12-08T01:33:01
0,BR14,C,32,78,2019-12-08T01:33:07
0,RC1,C,0,164,2019-12-08T01:33:10
0,TP12,C,61,81,2019-12-08T01:33:07
0,TP15,C,0,65,2019-12-08T01:33:07
0,TP20,C,0,90,2019-12-08T01:32:58
0,TP22,C,98,183,2019-12-08T01:33:13
0,TP3,C,157,214,2019-12-08T01:33:09
0,TP30,C,27,32,2019-12-08T01:33:09
0,TP34,C,184,230,2019-12-08T00:26:06
0,TP3A,C,150,296,2019-12-08T01:33:02
0,TP40,C,187,360,2019-12-08T01:32:58
0,TP41,C,48,170,2019-12-08T01:32:59
0,TP43,C,68,115,2019-12-08T01:33:12
0,TP48,C,0,20,2019-12-08T01:33:04
0,TP52,C,263,468,2019-12-08T01:33:07
0,TP53,C,97,303,2019-12-08T01:33:18
0,TP54,C,211,326,2019-12-08T01:33:18
0,TP60,C,96,281,2019-12-08T01:33:05
0,TP62,C,76,149,2019-12-08T01:33:07
0,TP63,C,42,116,2019-12-08T01:33:07
0,TP67,C,133,198,2019-12-08T01:32:58
0,TP7,C,181,183,2019-12-08T01:33:05
0,TP8,C,99,180,2019-12-08T01:33:05
0,TPB1,C,66,158,2019-12-08T01:33:13
0,TPM2,C,83,209,2019-12-08T01:33:06
0,TPM3,C,180,370,2019-12-08T01:32:58
0,TPM7,C,265,476,2019-12-08T01:33:09
0,TPM8,C,424,424,2019-12-08T01:33:03
0,TPM9,C,494,852,2019-12-08T01:33:03
0,TPMA,C,70,505,2019-12-08T01:33:07
0,TPMB,C,418,594,2019-12-08T01:33:13
0,TPMC,C,466,633,2019-12-08T01:33:18
0,TPMD,C,97,145,2019-12-08T01:33:15
0,TPME,C,154,183,2019-12-08T01:33:06
0,TPMF,C,283,460,2019-12-08T01:33:14
0,TPMH,C,213,246,2019-12-08T01:32:59
0,TPMJ,C,453,656,2019-12-08T01:33:14
0,TPMK,C,200,248,2019-12-08T01:33:00
0,TPML,C,140,288,2019-12-08T01:33:07
0,TPMM,C,159,329,2019-12-08T01:33:07
0,SK24,C,494,777,2019-12-08T01:31:59
0,SK24,Y,200,181,2016-02-19T11:19:28
0,SK24,H,200,181,2016-02-19T11:19:29
0,HG17,C,100,244,2019-12-08T01:32:33
0,HG75,C,605,823,2019-12-08T01:32:15
0,HG86,C,216,404,2019-12-08T01:32:08
0,HG92,C,835,1017,2019-12-08T01:32:15
0,Q86,C,77,346,2019-12-08T01:31:03
1,Q86,Y,0,0,2019-12-08T01:31:03
2,Q86,H,0,0,2019-12-08T01:31:03
0,Q19,C,6,18,2019-12-08T01:30:17
1,Q19,Y,0,155,2019-12-08T01:30:17
2,Q19,H,0,0,2019-12-08T01:30:17
0,MLM1,C,84,266,2019-12-08T01:32:01
1,MLM1,Y,0,177,2019-12-08T01:32:01
2,MLM1,H,0,0,2019-12-08T01:32:01
0,STM1,C,0,104,2019-12-08T01:31:29
1,STM1,Y,0,12,2019-12-08T01:31:29
2,STM1,H,0,0,2019-12-08T01:31:29
0,STM2,C,130,220,2019-12-08T01:31:13
1,STM2,Y,0,52,2019-12-08T01:31:13
2,STM2,H,0,0,2019-12-08T01:31:13
0,STM3,C,0,35,2019-12-08T01:31:15
1,STM3,Y,0,155,2019-12-08T01:31:15
2,STM3,H,0,0,2019-12-08T01:31:15
0,Q88,C,107,221,2019-12-08T01:30:34
1,Q88,Y,0,0,2019-12-08T01:30:34
2,Q88,H,0,0,2019-12-08T01:30:34
0,Q8,C,26,139,2019-12-08T01:30:53
1,Q8,Y,0,155,2019-12-08T01:30:53
2,Q8,H,0,0,2019-12-08T01:30:53
0,CDM,C,99,275,2019-12-08T01:30:30
1,CDM,Y,0,155,2019-12-08T01:30:30
2,CDM,H,0,0,2019-12-08T01:30:30
0,PL16,C,24,153,2019-12-08T01:32:05
0,PL19,C,68,291,2019-12-08T01:32:09
0,PL24,C,446,749,2019-12-08T01:32:06
0,PL38,C,90,399,2019-12-08T01:32:00
0,PL50,C,31,192,2019-12-08T01:31:57
0,PL51,C,111,321,2019-12-08T01:31:57
0,CK2,C,210,464,2019-12-08T01:27:50
0,A28,C,37,84,2019-12-08T01:33:12
0,A31,C,188,310,2019-12-08T01:33:40
0,A44,C,0,157,2019-12-08T01:33:30
0,A27,C,127,251,2019-12-08T01:33:27
0,A75,C,0,353,2019-12-08T01:33:16
0,SE41,C,354,762,2019-12-08T01:33:39
0,A2,C,119,187,2019-12-08T01:33:32
0,A94,C,169,234,2019-12-08T01:33:20
0,HG1D,C,40,181,2019-12-08T01:32:34
0,CK54,C,892,1854,2019-12-08T01:27:50
0,HE17,C,59,120,2019-12-08T01:28:51
0,SPS,C,79,94,2019-12-08T01:28:39
0,TB10,C,68,203,2019-12-08T01:28:57
0,TB11,C,89,152,2019-12-08T01:28:39
0,TB22,C,11,18,2019-12-08T01:28:51
0,TB23,C,28,50,2019-12-08T01:32:59
1,TB23,Y,0,38,2019-12-08T01:32:59
2,TB23,H,0,50,2019-12-08T01:32:59
0,TB28,C,1,7,2019-12-08T01:33:06
1,TB28,Y,40,49,2019-12-08T01:33:06
2,TB28,H,50,50,2019-12-08T01:33:06
0,TB4A,C,40,46,2019-11-01T07:59:49
0,TB6,C,68,136,2019-12-08T01:28:39
0,TB7,C,114,186,2019-12-08T01:28:39
0,TB8,C,34,85,2019-12-08T01:26:55
1,TB8,Y,40,44,2019-12-08T01:26:55
2,TB8,H,50,50,2019-12-08T01:26:55
0,TBCM,C,216,593,2019-12-08T01:33:01
1,TBCM,Y,39,135,2019-12-08T01:33:01
2,TBCM,H,50,1,2019-12-08T01:33:01
0,TE1,C,35,95,2019-12-08T01:28:40
0,YHS,C,29,60,2019-12-08T01:28:37
0,JM5,C,45,704,2019-12-08T00:57:49
0,JM6,C,469,702,2019-12-08T00:57:49
0,JM7M,C,681,691,2015-08-19T11:39:45
0,JM8,C,364,478,2019-11-07T00:45:46
0,JM8M,C,480,481,2015-08-19T11:39:45
0,JM9,C,183,417,2019-12-08T00:57:49
0,JSR1,C,1192,1194,2019-12-08T00:59:27
0,TJ27,C,74,225,2019-12-08T00:59:39
0,TJ28M,C,485,555,2016-02-04T18:35:55
0,TJ29,C,220,303,2019-12-08T00:59:39
0,TJ30,C,364,731,2019-12-08T00:57:51
0,TJ30S,C,272,288,2016-02-05T15:39:25
0,TJ32,C,543,544,2019-12-08T00:59:34
0,TJ33,C,193,441,2019-12-08T00:59:34
0,TJ33S,C,439,440,2015-12-24T18:04:02
0,TJ36,C,34,305,2019-12-08T00:59:34
0,TP4A,C,150,296,2019-12-08T01:33:03
0,CV1,C,259,302,2019-12-08T01:30:40
0,CV3,C,46,79,2019-12-08T01:31:39
0,PM32,C,159,454,2019-12-08T01:32:20
0,PM33,C,144,452,2019-12-08T01:32:20
0,PM34,C,161,442,2019-12-08T01:32:20
0,Y19,C,216,1159,2019-12-08T01:32:59
0,Y18,C,104,251,2019-12-08T01:32:19
0,Y26,C,143,291,2019-12-08T01:32:51
0,S28L,C,8,8,2019-12-08T01:32:54
0,CV2,C,21,28,2019-12-08T01:32:06
0,S30L,C,0,21,2019-12-08T01:31:38
0,SK30,C,204,425,2019-12-08T01:31:38
0,SK31,C,352,618,2019-12-08T01:32:05
